part name,part pk,electronic_mounting%51%17%False,electronic_code%15%False%False,Part of Kit%22%False%True,electronic_package%11%15%False,electronic_resistance%21%False%False
R_6.8kOhm_805_sm,839,sm,R_6.8KOhm_805_sm,FALSE,805,6.8k
R_68ROhm_805_sm,902,sm,R_68ROhm_805_sm,FALSE,805,68R
R_750kOhm_805_sm,872,sm,R_750KOhm_805_sm,FALSE,805,750k
R_750ROhm_805_sm,920,sm,R_750ROhm_805_sm,FALSE,805,750R
R_75kOhm_805_sm,856,sm,R_75KOhm_805_sm,FALSE,805,75k
R_7.5kOhm_805_sm,840,sm,R_7.5KOhm_805_sm,FALSE,805,7.5k
R_75ROhm_805_sm,903,sm,R_75ROhm_805_sm,FALSE,805,75R
R_820kOhm_805_sm,873,sm,R_820KOhm_805_sm,FALSE,805,820k
R_820ROhm_805_sm,921,sm,R_820ROhm_805_sm,FALSE,805,820R
R_82kOhm_805_sm,857,sm,R_82KOhm_805_sm,FALSE,805,82k
R_8.2kOhm_805_sm,841,sm,R_8.2KOhm_805_sm,FALSE,805,8.2k
R_82kOhm_AXIAL_th,1046,th,R_82kOhm_AXIAL_th,FALSE,AXIAL,82k
R_82ROhm_805_sm,904,sm,R_82ROhm_805_sm,FALSE,805,82R
R_910kOhm_805_sm,874,sm,R_910KOhm_805_sm,FALSE,805,910k
R_910ROhm_805_sm,922,sm,R_910ROhm_805_sm,FALSE,805,910R
R_91kOhm_805_sm,858,sm,R_91KOhm_805_sm,FALSE,805,91k
R_9.1kOhm_805_sm,842,sm,R_9.1KOhm_805_sm,FALSE,805,9.1k
R_91ROhm_805_sm,905,sm,R_91ROhm_805_sm,FALSE,805,91R
