part name,part pk,electronic_mounting%51%17%False,electronic_voltage%16%False%False,electronic_cap_polarized%14%False%True,Part of Kit%22%False%True,electronic_cap_capacitance%12%False%False,electronic_package%11%15%False,electronic_size%52%False%False,electronic_code%15%False%False,electronic_cap_type%50%16%False
C_2pF_50V_cssv_th,1464,th,50,False,True,2pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_30pF_50V_cssv_th,1468,th,50,False,True,30pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_3300pF_50V_cssv_th,1480,th,50,False,True,3300pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_3300uF_16V_essv_th,194,th,16,True,True,3300uF,RAD,(diameterxheight) or (lenghtxwidthxheight),Aluminium Electrolytic Capacitors - Radial Leaded,essv
C_330pF_50V_cssv_th,1474,th,50,False,True,330pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_33pF_50V_cssv_th,1469,th,50,False,True,33pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_33uF_16V_essv_th,1411,th,16,True,True,33uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_3.3uF_50V_essv_th,1407,th,50,True,True,3.3uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_47000pF_50V_cssv_th,1485,th,50,False,True,47000pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_4700pF_50V_cssv_th,1481,th,50,False,True,4700pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_470pF_50V_cssv_th,1475,th,50,False,True,470pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_47pF_50V_cssv_th,1470,th,50,False,True,47pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_47uF_16V_essv_th,1412,th,16,True,True,47uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_47uF_25V_escv_th,186,th,25,True,True,47uF,RAD,(diameterxheight) or (lenghtxwidthxheight),25ML47MEFC6.3X5,escv
C_47uF_25V_essv_th,1416,th,25,True,True,47uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_4.7uF_50V_cmsv_th,1427,th,50,False,True,4.7uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_4.7uF_50V_essv_th,1408,th,50,True,True,4.7uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_5pF_50V_cssv_th,1465,th,50,False,True,5pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_68000pF_50V_cssv_th,1486,th,50,False,True,68000pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_6800pF_50V_cssv_th,1482,th,50,False,True,6800pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_680pF_50V_cssv_th,1476,th,50,False,True,680pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_68pF_50V_cssv_th,1471,th,50,False,True,68pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
