Item,PK,Category,Name,Description
53,354,Bambu Lab TPU 95A HF Grey Spool 1kg,Bambu Lab TPU 95A HF Grey 1kg
54,61,Bambu Lab X1 Carbon,3D Printer
55,73,Banco Fresa,DIY
56,102,Bavaria BAG 115/1,Smerigliatrice angolare
57,100,Bernardo HBS 360,Sega nastro per legno
58,130,Bernardo - RV 203 CF - 230 V,Aspiratrucioli radiale
59,87,BIMax 152,Saldatrice
60,95,Black&Decker CD701,Pistola termica
61,79,Black&Decker ka2000,Levigatrice mouse
62,81,Black&Decker ka900e-qs,Lima elettrica
63,94,Black&Decker KS888E,Seghetto alternativo
64,506,Block VC 10/1/9 transformer 1 x 230 V 1 x 9 V/AC 10 VA 1.11 A,Block VC 10/1/9 transformer 1 x 230 V 1 x 9 V/AC 10 VA 1.11 A
65,106,Bosch GAS 35 M AFC,Aspiratore
66,104,Bosch GCM 12 GCL,Troncatrice Radiale
67,105,Bosch GKS 85 G,Sega Circolare portatile
68,108,Bosch GLL 3-80 C,Livella Laser
69,109,Bosch GLM 120 C,Misuratore Laser (Telemetro)
70,64,Bosch GSA 12V-14,SEGA UNIVERSALE A BATTERIA
71,103,Bosch GSR 18V-21,Avvitatore 18v
72,97,Bosch GWS750-115,Smerigliatrice angolare
73,80,Bosch pbs75ae,Levigatrice a nastro
74,76,Bosch pks40,Sega circolare portatile
75,77,Bosch pof1200ae,Fresatrice verticale
76,92,Bosch PSR 960,Avvitatore
77,439,BRAKE CALIPER FRONT LEFT 1300-1600 (67-93),Pinza freno anteriore SX Alfa Romeo Giulia GT 1.3 Junior
78,440,BRAKE CALIPER FRONT RIGHT 1300-1600 (67-93),Pinza freno anteriore DX Alfa Romeo Giulia GT 1.3 Junior
79,443,BRAKE DISC FRONT 1300-1600 (only as a set),Dischi freno anteriori Alfa Romeo Giulia GT 1.3 Junior
80,441,BRAKE PADS FERODO 1300-1600 front,Pastiglie freno anteriori Giulia GT Jiunio
81,366,Brass G1/2  Female-Female Thread Connector Elbow Copper,Brass G1/2  Female-Female Thread Connector Elbow Copper
82,290,Brass Insert Nut Set M2>M5,Brass Insert Nut Set Hot Melt Knurled Thread Heat Injection Molding Embedment Copper Nut M2 M2.5 M3 M4 M5 M6 for Attach 3D Print
83,289,Brass Insert Nut Set M3,Brass Insert Nut Set Hot Melt Knurled Thread Heat Injection Molding Embedment Copper Nut M2 M2.5 M3 M4 M5 M6 for Attach 3D Print
84,6,Braun ThermoScan 7+,Termometro digitale per febbre
85,184,C_1000uf_35V_th,Electrolitic capacitor
86,192,C_100nF_50V_805,Ceramic capacitor
87,187,C_100nF_50V_th,Ceramic capacitor
88,678,C_10uF_16V_805,0805 SMD Capacitor ±10% X7R 16V 10uF
89,191,C_10uF_50V_805,Ceramic capacitor
90,189,C_1500uF_16V_th,Electrolitic capacitor
91,679,C_1uF_25V_805,0805 SMD Capacitor ±10% X7R 25V 1uF
92,193,C_2200uf_16V_th,Electrolitic capacitor
93,195,C_22uf_400V_th,Electrolitic capacitor
94,188,C_270uF_16V_th,Electrolitic capacitor
95,194,C_3300uf_16V_th,Electrolitic capacitor
96,186,C_47uF_25V_th,Electrolitic capacitor
97,485,cable for CCTV IP camera board - power supply -LAN (no POE) black,cable for CCTV IP camera board - power supply -LAN (no POE) black
98,247,CADMouse,3DConnexion Mouse Wireless
99,209,Captiva R57-197,Desktop PC (NUC i7 replacement)
100,445,Car Interior Roof Lights 12V 36 LED Bulbs White,Car Interior Roof Lights 12V 36 LED Bulbs White
101,132,Carrello Spandiconcime,Carrello Spandiconcime prato Professionale 25 lt
102,273,Cavo 2x0.32 mmq (22AWG),100FT/30M 22 Gauge 2 Conduttori 22AWG Cavo Elettrico 2x0,32mm² 0,46mm²-Esterno Cavo LED a Bassa Tensione in Rame Stagnato Esterno per Strisce LED Lampade Llluminazione Automobilistica
103,310,Cavo GD H05RR-F Nero 3 x 1,0 mm²,Cavo gomma 3x1
104,311,Cavo GD H05RR-F Nero 3 x 1,5 mm²,Cavo gomma 3x1.5
105,278,CAVO SCHERMATO FR2OHH2R 4G1,5 4x1,5 mm²,CAVO SCHERMATO FR2OHH2R 4G1,5 4x1,5 mm² GOMMATO ANTIFIAMMA QUADRIPOLARE FLESSIBILE 4 POLI 10 METRI - MARCA ELETTRO CAVI K
106,277,CAVO SCHERMATO FR2OHH2R 4x1 mm²,CAVO SCHERMATO FR2OHH2R 4x1 mm² GOMMATO ANTIFIAMMA QUADRIPOLARE FLESSIBILE 4 POLI 10 METRI - MARCA ELETTRO CAVI K
107,159,C-Clamp Pliers,11" inch Face Clamp Locking C-Clamp Pliers Easy Quick Release For Dowelling Jig and Pocket Hole Jig Woodwork Construction Joint
108,436,CLAMP GEARBOX RUBBER GAITER BIG,Anello fissaggio cuffia in gomma grande
109,435,CLAMP GEARBOX RUBBER GAITER SMALL,Anello fissaggio cuffia in gomma piccolo
110,135,CNC 4 Axis MPG Pendant Handwheel With E-stop Emergency,CNC 4 Axis 6 Axis MPG Pendant Handwheel With E-stop Emergency
111,111,CNC 6090,Router CNC 6090
112,134,CNC Controller 4Axis DDCSV4.1 off-line controller,CNC Controller 4Axis DDCSV4.1 off-line controller
113,293,COB LED Work Light,3pcs Powerful COB LED Work Light Garage Mechanic Lamp USB Rechargeable Flashlight MagneticTorch Emergency Light Warning Light
114,85,Constructor cp 1400 180cb,Levigatrice Lucidatrice rotativa
115,235,Coral USB Accelerator,A USB accessory that brings accelerated ML inferencing to existing systems. Works with Linux, Mac, and Windows systems.
116,409,Corsair Vengeance (2 x 16GB, 2400 MHz, DDR4-RAM, SO-DIMM),Corsair Vengeance (2 x 16GB, 2400 MHz, DDR4-RAM, SO-DIMM)
117,45,Corsair Vengeance RGB Pro SL (2 x 16GB, 3600 MHz, DDR4-RAM, DIMM),RAM
118,315,Cortinet NAS DIY,DIY NAS for cortinet network
119,367,Cover Cap deLuxe protective cover, short,Cover Cap deLuxe protective cover, short
120,41,Cricut Maker 3,Plotter taglierina per vinile
121,42,Cricut mug press starter kit,Pressa Termica
122,53,Cricut Transfer press EasyPress 3,Cricut Transfer press EasyPress 3 30.5 x 25.4 cm
123,206,Crucial Laptop Memory (2 x 16GB, 2400 MHz, DDR4-RAM, SO-DIMM),RAM x
124,322,Crucial Laptop Memory (2 x 32GB, 3200 MHz, DDR4-RAM, SO-DIMM),RAM
125,381,Cuffia semiasse esterna,Cuffia semiasse Fresia esterna lato ruota
126,380,Cuffia semiasse interna,Cuffia semiasse Fresia interna lato ruota
127,297,Cuscinetto 10x26x8mm,XiKe 2 Pezzi 6000-2RS Cuscinetti a sfera 10x26x8mm, Acciaio cromato/Pre-lubrificato/Doppie guarnizioni in gomma, 6000RS Cuscinetti a sfere a gola profonda
128,274,Cuscinetto 6201-2RS - 12 x 32 x 10 mm,6201-2RS - Cuscinetto a doppia guarnizione in gomma, ABEC-5, 12 x 32 x 10 mm, 4 pezzi
129,146,CW-3000 Chiller 220V,CW-3000 Chiller 220V
130,317,CWWK 11th generation Core i7-1165G7 six-bay NAS board/4 network 2.5G/6 SATA3.0/2 M.2 NVMe/SFF-8643,CWWK 11th generation Core i3-1115G4/i5-1135G7/i7-1165G7 six-bay NAS board/4 network 2.5G/6 SATA3.0/2 M.2 NVMe/SFF-8643
131,320,Cyberpower Office Rackmount 1000VA/600W 6xIEC,Cyberpower Office Rackmount 1000VA/600W 6xIEC
132,260,DBS-22 Drill Bit Sharpening Attachment,Tormek - Affila punte trapano
133,325,Delock Dellock SAS cable: SFF-8643- 4xSATA , 0.5m,Delock Dellock SAS cable: SFF-8643- 4xSATA , 0.5m
134,466,Delock RP-SMA-RP-SMA, LMR/CFD100,Delock RP-SMA-RP-SMA, LMR/CFD100
135,319,Delock USB ShapeCable,USB3 15 cm extension cable
136,465,Delock WLAN Antenna RP-SMA,Delock WLAN Antenna RP-SMA
137,8,Devolo Magic 2,Devolo Magic 2 - Parte del Kit Triple
138,9,Devolo Magic 2 Triple,Devolo Magic 2 Triple - Parte del kit triple
139,65,Devolo Magic 2 Wifi,Devolo PowerLine 2xETH + Wifi
140,314,Digitus DN-19 CASTOR-WM castor set for wall cabinets, universal frame,Digitus DN-19 CASTOR-WM castor set for wall cabinets, universal frame
141,327,Digitus DN-19 SET screw set, size M6 for 19" cabinets,Digitus DN-19 SET screw set, size M6 for 19" cabinets
142,313,Digitus Shelf DN-19 TRAY-1-SW,Digitus Shelf DN-19 TRAY-1-SW
143,312,Digitus Wall mounted enclosure Unique series - 600x450 mm (12 RU),Digitus Wall mounted enclosure Unique series - 600x450 mm (12 RU)
144,321,Dörner + Helmer Parquet swivel castor,Dörner + Helmer Parquet swivel castor
145,149,Drawer Installation Jig,Drawer Installation Jig
146,150,Drill Guide,Drill Guide
147,668,DS18B20Z SOP-8,DS18B20U MSOP-8 Single Bus Temperature Sensor Chip
148,406,EDELHAND© misuratore di contorno set da 2,EDELHAND© misuratore di contorno set da 2
149,91,EH 900,Pialla Elettrica portatile
150,99,Einhell  DEG 200-E,Levigatrice triangolare
151,74,Einhell TC-BJ 900,Fresatrice Orizzontale Lamellare
152,96,Einhell WS-G 115,Smerigliatrice angolare
153,338,Electrical Screw Terminal Block Strip 10P,Electrical Screw Terminal Block Strip 10P
154,339,Electrical Screw Terminal Block Strip 12P,Electrical Screw Terminal Block Strip 12P
155,333,Electrical Screw Terminal Block Strip 3P,Electrical Screw Terminal Block Strip 3P
156,334,Electrical Screw Terminal Block Strip 4P,Electrical Screw Terminal Block Strip 4P
157,335,Electrical Screw Terminal Block Strip 5P,Electrical Screw Terminal Block Strip 5P
158,336,Electrical Screw Terminal Block Strip 6P,Electrical Screw Terminal Block Strip 6P
159,337,Electrical Screw Terminal Block Strip 8P,Electrical Screw Terminal Block Strip 8P
160,250,elettrovalvola 220V,elettrovalvola 220V per lavatrici
161,232,Elikliv EDM9 7 Inch 1080P LCD Digital Microscope,Elikliv EDM9 7 Inch 1080P LCD Digital Microscope 50X-1200X Soldering Electronics Microscopes With LED Lights Support PC Computer
162,397,Enjoy solar Modulo solare 200W,Enjoy solar Modulo solare 200W
163,210,Epever RS485 to wifi adaptor v1.6,Epever module for Ghisi Solar system HA integration
164,43,EPSON SureColor SC-F100,Stampante inchiostri sublimatici
165,218,ESP32Camera AI-Thinker,ESP32Camera AI-Thinker
166,488,ESP32 Control Board Ver. 2.1,ESP32 Control Board Ver. 2.1
167,503,Expandable 6 Channel ESP32 Energy Meter Add-on Board,Expandable 6 Channel ESP32 Energy Meter Add-on Board
168,348,Expandable 6 Channel ESP32 Energy Meter Main Board,Expandable 6 Channel ESP32 Energy Meter Main Board
169,20,Fanatec ClubSport Button Cluster Pack,Set bottoni per podium Hub
170,13,Fanatec ClubSport Handbrake V1.5,Simulatore Freno a mano
171,19,Fanatec ClubSport Magnetic Paddle Module,Paddles per podium Hub
172,12,Fanatec ClubSport Pedals V3,Simulatore Pedaliera
173,11,Fanatec ClubSport Shifter SQ V 1.5,Simulatore cambio marcia
174,17,Fanatec ClubSport Steering Wheel Formula V2,Volante Formula
175,66,Fanatec ClubSport USB Adapter,Fanatec USB Adapter
176,21,Fanatec Podium Advanced Paddle Module,Set Paddles per Volante Formula
177,370,Fanatec Podium Button Module Rally,Designed in collaboration with the M-Sport World Rally Team, the Podium Button Module Rally is a feature-packed device used in the 2022 and 2023 Ford Puma Hybrid Rally1 WRC car.
178,18,Fanatec Podium Hub,Mozzo per volanti standar
179,16,Fanatec Podium Wheel Base DD1,Motore Direct Drive Fanatec
