name,description,category,IPN,revision,keywords,units,link,active,virtual,assembly,component,purchaseable,salable,trackable,notes,variant_of,is_template,responsible,default_location,default_supplier,default_expiry,minimum_stock,bom,parameters,attachments,owner,image,supplier_pk,supplier_part_number,supplier_link,supplier_pack_quantity
R_39K ohm 1%_805,R_39K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_47K ohm 1%_805,R_47K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_51K ohm 1%_805,R_51K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_56K ohm 1%_805,R_56K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_68K ohm 1%_805,R_68K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_75K ohm 1%_805,R_75K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_82K ohm 1%_805,R_82K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_91K ohm 1%_805,R_91K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_100K ohm 1%_805,R_100K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_120K ohm 1%_805,R_120K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_150K ohm 1%_805,R_150K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_200K ohm 1%_805,R_200K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_220K ohm 1%_805,R_220K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_270K ohm 1%_805,R_270K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_300K ohm 1%_805,R_300K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_330K ohm 1%_805,R_330K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_390K ohm 1%_805,R_390K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_470K ohm 1%_805,R_470K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_510K ohm 1%_805,R_510K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_560K ohm 1%_805,R_560K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_680K ohm 1%_805,R_680K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_750K ohm 1%_805,R_750K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_820K ohm 1%_805,R_820K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_910K ohm 1%_805,R_910K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1M ohm 1%_805,R_1M ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1.5M ohm 1%_805,R_1.5M ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2M ohm 1%_805,R_2M ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2.2M ohm 1%_805,R_2.2M ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_4.7M ohm 1%_805,R_4.7M ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1R ohm 1%_805,R_1R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1.2R ohm 1%_805,R_1.2R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1.5R ohm 1%_805,R_1.5R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2R ohm 1%_805,R_2R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2.2R ohm 1%_805,R_2.2R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_3R ohm 1%_805,R_3R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_3.3R ohm 1%_805,R_3.3R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_4.7R ohm 1%_805,R_4.7R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_5.1R ohm 1%_805,R_5.1R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_10R ohm 1%_805,R_10R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_12R ohm 1%_805,R_12R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_15R ohm 1%_805,R_15R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_18R ohm 1%_805,R_18R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_20R ohm 1%_805,R_20R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_22R ohm 1%_805,R_22R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_27R ohm 1%_805,R_27R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_30R ohm 1%_805,R_30R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_33R ohm 1%_805,R_33R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_39R ohm 1%_805,R_39R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_47R ohm 1%_805,R_47R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_51R ohm 1%_805,R_51R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_56R ohm 1%_805,R_56R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_68R ohm 1%_805,R_68R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_75R ohm 1%_805,R_75R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_82R ohm 1%_805,R_82R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_91R ohm 1%_805,R_91R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_100R ohm 1%_805,R_100R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_120R ohm 1%_805,R_120R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_150R ohm 1%_805,R_150R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_200R ohm 1%_805,R_200R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_220R ohm 1%_805,R_220R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_240R ohm 1%_805,R_240R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_270R ohm 1%_805,R_270R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_300R ohm 1%_805,R_300R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_330R ohm 1%_805,R_330R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_390R ohm 1%_805,R_390R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_470R ohm 1%_805,R_470R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_510R ohm 1%_805,R_510R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_560R ohm 1%_805,R_560R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_680R ohm 1%_805,R_680R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_750R ohm 1%_805,R_750R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_820R ohm 1%_805,R_820R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_910R ohm 1%_805,R_910R ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1K ohm 1%_805,R_1K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1.2K ohm 1%_805,R_1.2K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_1.5K ohm 1%_805,R_1.5K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2K ohm 1%_805,R_2K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2.2K ohm 1%_805,R_2.2K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2.4K ohm 1%_805,R_2.4K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
R_2.7K ohm 1%_805,R_2.7K ohm 1%_805 SMD resistor,81,,,,,,1,,,1,1,,,,,,,,,,,,,,,r805.jpg,24,1,https://www.aliexpress.com/item/1005004514188581.html,20
