Item,PK,Category,Name,Description,Image
33,473,800pcs (2mm) Phillips Screws Assortment Kit M2*4/5/6/8/10/12/16/20mm - 800PCS PA Black,800pcs (2mm) Phillips Screws Assortment Kit M2*4/5/6/8/10/12/16/20mm - 800PCS PA Black,/media/part_images/Screenshot_2024-10-18_125925.png
34,27,8bitdo arcade stick controller,8bitdo arcade stick controller,/media/part_images/183146668_xxl3.webp
35,144,AC / DC 100V-240V Converter Adapter DC 5V 4A 4000mA Power Supply 5.5mm x 2.1-2.5mm,PSU (for MiSTer),/media/part_images/high-quality-AC-DC-100V-240V-Converter-Adapter-DC-5V-4A-4000mA-Power-Supply-_14YZtR4.jpg
36,224,AC-DC 12V 5v 450mA 5W Power Supply,AC-DC 12V 5v 450mA 5W Power Supply,/media/part_images/H9da6f1ed5b304feeb73c40dd190000a9x.jpg
37,221,AC-DC 220v to 5VDC step down module 700mA,,/media/part_images/dcdc5v_00.png
38,98,AEG TIP WSP 125-900,Smerigliatrice angolare,/media/part_images/Screenshot_2023-04-16_091242.jpg
39,423,ALUMINIUM WHEEL 7x15, ET 29 GTA REPLICA WITH CENTRE BADGE,Cerchi Lega Alfa,/media/part_images/Screenshot_2024-09-13_095426.png
40,51,AMD Ryzen 7 5800X3D (AM4, 3.40 GHz, 8 -Core),CPU,/media/part_images/32get.png
41,28,ANBERNIC RG552 Handheld Game Console,Retrogaming Console,/media/part_images/RG552_1.PNG
42,40,Anova Precision® Cooker,Anova sous vide roner,/media/part_images/image_1571875853289555448.png
43,36,Anycubic Photon Mono X 6K,Stampante a resina con ampio schermo da 9,25" e risoluzione 6K,/media/part_images/02get.jpg
44,32,Anycubic Wash & Cure Plus,Per il post trattamento dei modelli in resina,/media/part_images/01get.jpg
45,226,Aqara Light Sensor,Aqara Light Sensor T1 Brightness Sensor Zigbee 3.0 Automation Smart home Light Detector APP Control by aqara home / Homekit,/media/part_images/Web_capture_14-8-2023_125656_www.aliexpress.com.jpeg
46,227,Aqara Motion Sensor,Aqara Motion Sensor Smart Human Body Sensor body Movement ZigBee Motion Wireless Connection Smart home for Xiaomi mijia Mi home,/media/part_images/Web_capture_14-8-2023_1329_www.aliexpress.com.jpeg
47,504,ASUS TUF VG27AQ,ASUS TUF VG27AQ,/media/part_images/Screenshot_2024-12-10_133902.png
48,257,BambuLab AMS,,/media/part_images/Web_capture_2-12-2023_7122_eu.store.bambulab.com.jpeg
49,258,Bambu Lab AMS Hub,,/media/part_images/Web_capture_2-12-2023_71321_eu.store.bambulab.com.jpeg
50,355,Bambu Lab PC Black Spool 1Kg,Bambu Lab PC Black Spool 1Kg,/media/part_images/Screenshot_2024-05-23_064552.png
51,356,Bambu Lab PC Grey Spool 1Kg,Bambu Lab PC Grey Spool 1Kg,/media/part_images/Screenshot_2024-05-23_064814.png
52,353,Bambu Lab PLA Basic Red Refill 1Kg,Bambu Lab PLA Basic Red Refill 1Kg,/media/part_images/Screenshot_2024-05-22_074920_vEemjT1.png
53,354,Bambu Lab TPU 95A HF Grey Spool 1kg,Bambu Lab TPU 95A HF Grey 1kg,/media/part_images/Screenshot_2024-05-22_080731.png
54,61,Bambu Lab X1 Carbon,3D Printer,/media/part_images/Screenshot_2023-04-15_082708.jpg
55,73,Banco Fresa,DIY,None
56,102,Bavaria BAG 115/1,Smerigliatrice angolare,/media/part_images/61rvnBpUBFL._AC_SL1500_.jpg
57,100,Bernardo HBS 360,Sega nastro per legno,/media/part_images/get15.jpg
58,130,Bernardo - RV 203 CF - 230 V,Aspiratrucioli radiale,/media/part_images/Bo_12-2018zGVLC6SFbH64b.jpg
59,87,BIMax 152,Saldatrice,/media/part_images/get33.jpg
60,95,Black&Decker CD701,Pistola termica,/media/part_images/get18.jpg
61,79,Black&Decker ka2000,Levigatrice mouse,/media/part_images/get53.png
62,81,Black&Decker ka900e-qs,Lima elettrica,/media/part_images/get35.png
63,94,Black&Decker KS888E,Seghetto alternativo,/media/part_images/get13.jpg
64,506,Block VC 10/1/9 transformer 1 x 230 V 1 x 9 V/AC 10 VA 1.11 A,Block VC 10/1/9 transformer 1 x 230 V 1 x 9 V/AC 10 VA 1.11 A,/media/part_images/Screenshot_2024-12-10_141338.png
65,106,Bosch GAS 35 M AFC,Aspiratore,/media/part_images/get38.png
66,104,Bosch GCM 12 GCL,Troncatrice Radiale,/media/part_images/get37.png
67,105,Bosch GKS 85 G,Sega Circolare portatile,/media/part_images/get48.png
68,108,Bosch GLL 3-80 C,Livella Laser,/media/part_images/get47.png
