Item,PK,Parent,Level,Name,Description
137,2,None,0,Make,Ex IC Inventory
138,66,2,1,Cable,Cable / Wires
139,67,66,2,complete cable,completed cable (2 heads connector)
140,136,67,3,Fiber Cable,Fiber Cable
141,137,67,3,Storage SATA,Storage HDD/SDD cable (SATA, etc.)
142,70,67,3,USB,USB cables
143,69,67,3,Video signals,Video cable
144,68,66,2,only cable/wires,cable/wire only (no heads)
145,114,66,2,semi-complete cable,semi-complete cable (1head connector)
146,14,2,1,Connectors,inventario connettori
147,142,14,2,Electrical,Electrical connectors
148,143,14,2,Electronic,Electronic connectors
149,141,14,2,Network,Network connectors (RJ45,RJ11,RJ12)
150,16,2,1,Display,inventario display
151,8,2,1,Fans,ventole pc
152,9,2,1,Hardware - Ferramenta,Ferramenta (visit, ranelle, dadi, etc.)
153,150,9,2,Accessori Fissaggi,Accessori Fissaggi
154,140,9,2,Dadi,Dadi
155,139,9,2,Ranelle,Ranelle
156,152,9,2,Ruote,Ruote Girevoli - Caster Wheels
157,138,9,2,Screws - Viti,Viti e fissaggi
158,115,2,1,Idraulica,Idraulica
159,17,2,1,Material,inventario materiali
160,147,17,2,FDM 3d print filament,Filamenti stampa 3D
161,15,2,1,Power supply,inventario PSU
162,45,15,2,Assembly,Already assembled and ready to use PSU
163,118,15,2,Power filters (EMI),Power protection and filters (EMI)
164,46,15,2,PSU Build,PSU for projects/integration (input 220V) - No enclosure
165,104,15,2,Voltage converter,Step up/dovn
166,10,None,0,Multimedia,CD, DVD, BR, etc
167,13,10,1,BlueRay,inventario blueray
168,11,10,1,CD,inventario CD
169,12,10,1,DVD,inventario DVD
170,43,10,1,Hi-Fi,Impianti oo componenti Hi-Fi
