pk,name,description
678,C_10uF_16V_cmsh_sm,0805 SMD Capacitor 10% X7R 16V 10uF
679,C_1uF_25V_cmsh_sm,0805 SMD Capacitor 10% X7R 25V 1uF
192,C_100nF_50V_cmsh_sm,0805 SMD Capacitor 10% X7R 50V 100nF
1103,C_1500uF_16V_escv_th,Aluminum Electrolytic Capacitor DIP-2 6.3V 1500uf 16v 110x20mm
1061,C_100nF_50V_cmsv_th,C_KERKO 100n 50V (10000PF 50V X7R RADIA)
