pk,name,description
1402,C_0.1uF_50V_essv_th,Electrolitic standard vertical capacitor
1403,C_0.22uF_50V_essv_th,Electrolitic standard vertical capacitor
1404,C_0.47uF_50V_essv_th,Electrolitic standard vertical capacitor
1405,C_1uF_50V_essv_th,Electrolitic standard vertical capacitor
1406,C_2.2uF_50V_essv_th,Electrolitic standard vertical capacitor
1407,C_3.3uF_50V_essv_th,Electrolitic standard vertical capacitor
1408,C_4.7uF_50V_essv_th,Electrolitic standard vertical capacitor
1409,C_10uF_25V_essv_th,Electrolitic standard vertical capacitor
1410,C_22uF_25V_essv_th,Electrolitic standard vertical capacitor
1411,C_33uF_16V_essv_th,Electrolitic standard vertical capacitor
1412,C_47uF_16V_essv_th,Electrolitic standard vertical capacitor
1413,C_100uF_25V_essv_th,Electrolitic standard vertical capacitor
1414,C_100uF_16V_essv_th,Electrolitic standard vertical capacitor
1415,C_220uF_10V_essv_th,Electrolitic standard vertical capacitor
1416,C_47uF_25V_essv_th,Electrolitic standard vertical capacitor
