pk,name,description
184,C_1000uf_35V_essv_th,Electrolitic standard vertical capacitor
189,C_1500uF_16V_essv_th,Electrolitic standard vertical capacitor
193,C_2200uf_16V_essv_th,Electrolitic standard vertical capacitor
195,C_22uf_400V_essv_th,Electrolitic standard vertical capacitor
188,C_270uF_16V_essv_th,Electrolitic standard vertical capacitor
194,C_3300uf_16V_essv_th,Electrolitic standard vertical capacitor
