pk,name,description
1487,C_100000pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1483,C_10000pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1477,C_1000pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1472,C_100pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1466,C_10pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1478,C_1500pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1484,C_22000pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1479,C_2200pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1467,C_22pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1473,C_230pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1464,C_2pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1468,C_30pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1480,C_3300pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1474,C_330pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1469,C_33pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1485,C_47000pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1481,C_4700pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1475,C_470pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1470,C_47pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1465,C_5pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1486,C_68000pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1482,C_6800pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1476,C_680pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
1471,C_68pF_50V_cssv_th,Ceramic Standard Disk Vertical Capacitor
